20
9999999	11	11	15	10	11	19	11	19	11	19	9	17	11	15	26	15	11	15	11
0	7	6	4	5	6	9	6	19	6	5	3	3	4	9	1	0	7	14	7
91
0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011
0	0	5	5	-4	0	-1	2	-19	-3	3	6	10	4	-2	11	5	1	-1	-1
0	-4	-2	6	-2	-3	-1	-6	-14	4	9	2	6	-1	0	22	11	-3	-14	-1
0	-1	0	4	5	-1	8	2	-10	0	-2	5	5	-2	2	20	5	-3	-5	-5
0	3	-4	6	4	0	-3	0	-14	-3	4	0	6	3	5	21	3	-7	-12	-3
0	-3	0	5	-5	1	-1	-2	-10	-2	-5	6	11	-1	5	4	2	-5	0	-2
0	0	-5	3	1	-3	4	3	0	-1	-5	1	5	-4	0	21	3	-7	-11	-4
0	0	-1	9	-1	1	-9	0	-12	0	5	3	12	2	-9	25	15	-7	-12	-4
0	4	-6	3	-4	0	1	4	-11	0	7	1	3	-4	1	16	13	-5	-14	-1
0	-4	-1	0	-1	-2	0	-2	-18	5	2	6	7	5	-1	25	15	-2	-12	-2
0	-2	1	7	2	-3	-1	5	-9	1	4	2	6	1	-1	6	15	4	-14	-3
0	2	3	4	3	2	-6	-1	-7	-2	3	3	13	-3	2	21	9	-5	-12	-1
0	2	0	9	3	1	10	-1	-9	0	-2	3	6	-2	-2	7	3	-7	-14	-3
0	-1	0	1	-5	4	2	-6	-5	0	0	3	4	-2	4	18	2	-3	-11	-4
0	1	-3	0	0	-1	4	-6	-19	3	10	2	10	-1	-2	21	7	-2	-13	3
0	-1	-1	5	-3	-4	4	-2	-9	0	3	1	2	2	2	10	11	-5	-9	-6
0	-4	2	11	4	-6	-4	0	-17	-1	1	-1	4	2	5	10	9	-4	-13	0
0	0	-1	4	-5	3	3	5	-11	-6	5	0	13	3	-3	20	7	-5	-8	-1
0	1	1	3	5	-1	-2	4	-3	3	-2	2	8	1	-4	25	10	-7	-10	-4
0	1	-1	0	1	-1	8	1	0	3	-3	1	2	-1	-2	3	13	-7	-5	-7
0	3	-6	8	-3	3	-5	0	-11	1	4	6	1	-4	-2	8	6	-3	-6	0
0	4	-3	7	-4	-1	9	5	-11	-1	2	6	9	0	-3	20	8	-6	-14	3
0	1	0	-4	2	0	8	1	-19	-3	9	2	14	1	3	21	5	-5	-13	-3
0	1	3	3	-5	-1	10	-4	-19	-3	7	-2	6	-2	-1	7	7	-6	-12	1
0	-7	-2	11	-1	-1	-3	2	-10	2	2	0	9	6	-3	4	8	-7	-14	-1
0	-1	1	-4	-2	-4	1	4	-12	5	8	-1	8	4	0	17	2	1	-3	4
0	-2	-2	4	-1	-1	-7	2	-13	0	-3	4	7	1	4	19	15	3	1	1
0	-2	3	10	0	1	-9	-6	-6	5	3	-3	-2	0	-2	16	4	-7	-14	-3
0	-4	0	9	5	1	3	0	-12	-2	0	-1	8	4	4	17	15	-4	-10	-5
0	-1	-5	3	5	1	0	-1	-19	1	9	3	11	6	-3	24	14	-7	-10	-6
0	-4	0	4	5	-2	9	0	-19	-3	11	-3	11	4	1	25	8	-2	-7	-4
0	3	-4	-1	1	-3	2	5	-19	5	3	3	14	0	-5	23	13	-7	-14	-7
0	-3	2	6	-1	-1	4	2	-5	-6	0	-1	4	4	1	8	12	-3	0	-4
0	-3	-5	-1	3	0	10	-2	-13	-2	5	-3	-2	3	2	10	7	-7	1	-6
0	0	1	-2	-1	-6	0	2	-4	-2	0	1	7	-1	-3	7	0	-1	-11	1
0	-3	2	8	0	2	1	-1	-16	0	0	4	8	3	2	11	15	-7	-12	-7
0	-1	2	3	1	1	0	0	-18	-4	6	3	1	2	-1	14	14	4	-2	4
