30
999999	11	11	11	19	15	15	15	15	17	19	18	11	11	11	23	15	11	15	11	11	11	11	13	11	11	11	15	11	11
0	6	7	6	2	4	5	6	5	9	14	14	7	6	6	12	8	5	6	5	5	5	5	8	5	5	5	8	7	6
91
0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011	0.010989011
0	-4	-5	-4	-2	4	6	3	3	1	-10	-3	-1	-3	0	1	-1	0	2	1	0	2	0	1	-1	0	1	0	1	0
0	-1	4	-2	5	5	-5	1	-2	1	-2	-4	1	-3	-1	3	1	0	8	-1	1	1	0	-2	0	0	3	0	4	2
0	-5	-2	-3	-2	8	0	9	0	-1	-2	-14	-2	0	2	1	1	0	0	1	0	2	-1	-1	-1	0	0	0	3	-2
0	-1	-5	-4	9	5	4	-6	-5	-2	1	0	0	0	-1	-4	-5	-5	-3	-1	-2	2	-2	4	-1	2	2	-4	-1	2
0	0	-2	-4	17	7	-1	5	-3	0	-4	-9	-3	-5	0	0	1	-1	-1	0	-4	1	-1	-8	-1	1	3	0	-5	-5
0	3	-7	2	8	8	2	5	0	-3	-3	-4	1	-3	-1	-1	-1	0	0	-2	-1	-1	0	5	1	1	0	0	-1	1
0	-2	0	-6	4	0	-2	4	2	0	-1	-9	1	3	1	0	0	1	7	-1	1	1	0	-2	0	0	0	0	3	2
0	-4	0	-3	13	-2	0	0	4	5	-6	-7	1	0	-2	-1	2	0	7	0	0	0	0	1	0	0	-1	0	-4	1
0	3	1	0	-2	7	3	3	-3	1	-4	-1	-1	0	-1	6	-2	-1	0	3	2	0	0	0	-1	0	0	0	1	2
0	-1	0	-1	4	6	-3	-3	-2	-1	0	-3	-3	-1	0	-2	1	-1	4	1	3	1	0	3	0	0	0	0	-1	-1
0	-5	-1	0	2	3	1	-4	6	-2	-5	3	-1	-1	-3	2	0	0	1	0	-2	0	0	5	0	1	-1	0	-3	-4
0	-1	0	-1	11	7	4	1	-3	1	2	-4	-2	-1	3	0	-4	0	-2	-2	0	-1	0	2	0	0	-5	0	-5	-1
0	-2	1	1	11	-4	-1	0	-1	-1	1	-1	-2	-1	2	1	-3	0	-1	0	0	-2	0	0	0	0	-1	0	-6	2
0	-2	3	1	6	7	0	4	1	-1	-2	-9	-5	-1	-2	8	4	-2	2	0	-3	2	-1	-2	0	0	0	0	-2	-2
0	1	-5	-3	8	2	2	1	2	2	-4	-7	-2	-4	-1	1	1	0	1	1	1	0	0	0	0	0	-1	0	-4	0
0	0	1	-6	1	0	4	4	2	-1	-2	-8	-1	3	1	7	-3	0	3	0	1	0	-1	3	0	0	1	0	-2	-3
